akira,bigmath,bubble_pop,countingx,picmatch,spelling,story_questions,story_reading,word_copy
,,15.765,,,11.734,,0.411,10.428
,,15.78,,,11.909,,0.412,10.472
,,15.796,,,11.932,,0.413,10.473
,,15.845,,,11.957,,0.414,10.48
,,15.852,,,12.12,,0.415,10.483
,,15.884,,,12.131,,0.416,10.491
,,15.916,,,12.229,,0.417,10.502
,,15.921,,,12.355,,0.418,10.503
,,15.934,,,12.43,,0.419,10.505
,,15.956,,,12.444,,0.42,10.508
,,15.961,,,12.614,,0.421,10.512
,,15.986,,,12.657,,0.422,10.518
,,157.428,,,12.847,,0.423,10.524
,,16.011,,,12.859,,0.424,10.532
,,16.072,,,12.941,,0.425,10.533
,,16.095,,,13.055,,0.426,10.536
,,16.213,,,13.213,,0.427,10.541
,,16.225,,,13.41,,0.428,10.544
,,16.305,,,13.668,,0.429,10.546
,,16.462,,,13.705,,0.43,10.555
,,16.479,,,13.814,,0.431,10.556
,,16.546,,,13.892,,0.432,10.558
,,16.562,,,13.949,,0.433,10.564
,,16.592,,,13.977,,0.434,10.57
,,16.687,,,14.062,,0.435,10.574
,,16.777,,,14.144,,0.436,10.577
,,16.802,,,14.187,,0.437,10.581
,,16.852,,,14.215,,0.438,10.603
,,16.865,,,14.503,,0.439,10.608
,,16.882,,,14.639,,0.44,10.615
,,16.899,,,14.752,,0.441,10.617
,,16.952,,,14.857,,0.442,10.618
,,16.957,,,14.885,,0.443,10.628
,,16.994,,,14.936,,0.444,10.631
,,160.197,,,14.954,,0.445,10.64
,,163.334,,,14.96,,0.446,10.641
,,17.029,,,15.159,,0.447,10.646
,,17.055,,,15.314,,0.448,10.652
,,17.056,,,15.433,,0.449,10.664
,,17.083,,,15.94,,0.45,10.665
,,17.085,,,16.015,,0.451,10.673
,,17.119,,,16.029,,0.452,10.685
,,17.16,,,16.317,,0.453,10.695
,,17.17,,,16.657,,0.454,10.708
,,17.184,,,16.691,,0.455,10.71
,,17.275,,,17.401,,0.456,10.712
,,17.321,,,18.028,,0.457,10.714
,,17.361,,,18.18,,0.458,10.727
,,17.454,,,18.203,,0.459,10.732
,,17.461,,,18.234,,0.46,10.74
,,17.481,,,18.242,,0.461,10.755
,,17.539,,,18.266,,0.462,10.756
,,17.545,,,18.846,,0.463,10.759
,,17.604,,,18.978,,0.464,10.767
,,17.638,,,19.141,,0.465,10.782
,,17.673,,,19.261,,0.466,10.786
,,17.698,,,19.341,,0.467,10.793
,,17.729,,,19.678,,0.468,10.8
,,17.772,,,19.685,,0.469,10.804
,,17.793,,,2.009,,0.47,10.805
,,17.806,,,2.01,,0.471,10.811
,,17.855,,,2.019,,0.472,10.815
,,17.868,,,2.028,,0.473,10.816
,,17.943,,,2.036,,0.474,10.824
,,179.524,,,2.052,,0.475,10.83
,,179.957,,,2.054,,0.476,10.833
,,18.181,,,2.077,,0.477,10.835
,,18.19,,,2.085,,0.478,10.837
,,18.234,,,2.092,,0.479,10.847
,,18.242,,,2.095,,0.48,10.854
,,18.264,,,2.102,,0.481,10.856
,,18.284,,,2.103,,0.482,10.859
,,18.351,,,2.105,,0.483,10.864
,,18.405,,,2.111,,0.484,10.869
,,18.413,,,2.112,,0.485,10.874
,,18.458,,,2.114,,0.486,10.878
,,18.461,,,2.118,,0.487,10.884
,,18.489,,,2.12,,0.488,10.885
,,18.494,,,2.121,,0.489,10.888
,,18.608,,,2.129,,0.49,10.891
,,18.616,,,2.135,,0.491,10.893
,,18.632,,,2.144,,0.492,10.898
,,18.637,,,2.146,,0.493,10.9
,,18.847,,,2.153,,0.494,10.904
,,18.909,,,2.162,,0.495,10.908
,,18.927,,,2.176,,0.496,10.919
,,18.931,,,2.186,,0.497,10.92
,,18.948,,,2.187,,0.498,10.928
,,19.02,,,2.189,,0.499,10.929
,,19.04,,,2.204,,0.5,10.932
,,19.231,,,2.208,,0.501,10.933
,,19.266,,,2.222,,0.502,10.94
,,19.35,,,2.236,,0.503,10.946
,,19.417,,,2.25,,0.504,10.96
,,19.435,,,2.255,,0.505,10.962
,,19.605,,,2.273,,0.506,10.965
,,19.628,,,2.28,,0.507,10.967
,,19.645,,,2.287,,0.508,10.968
,,19.674,,,2.292,,0.509,10.984
,,19.797,,,2.307,,0.51,11.008
,,19.808,,,2.315,,0.511,11.012
,,19.818,,,2.359,,0.512,11.019
,,19.823,,,2.36,,0.513,11.026
,,19.831,,,2.367,,0.514,11.039
,,19.902,,,2.368,,0.515,11.046
,,19.96,,,2.377,,0.516,11.052
,,19.967,,,2.383,,0.517,11.054
,,19.969,,,2.385,,0.518,11.056
,,19.973,,,2.402,,0.519,11.062
,,192.586,,,2.411,,0.52,11.07
,,192.624,,,2.412,,0.521,11.075
,,2.738,,,2.418,,0.522,11.076
,,2.782,,,2.42,,0.523,11.079
,,2.791,,,2.424,,0.524,11.081
,,2.794,,,2.426,,0.525,11.088
,,2.799,,,2.436,,0.526,11.096
,,2.828,,,2.443,,0.527,11.102
,,2.83,,,2.445,,0.528,11.105
,,2.833,,,2.453,,0.529,11.112
,,2.836,,,2.486,,0.53,11.114
,,2.844,,,2.493,,0.531,11.117
,,2.854,,,2.495,,0.532,11.125
,,2.857,,,2.496,,0.533,11.129
,,2.868,,,2.513,,0.534,11.131
,,2.88,,,2.521,,0.535,11.132
,,2.883,,,2.531,,0.536,11.135
,,2.887,,,2.536,,0.537,11.143
,,2.904,,,2.542,,0.538,11.145
,,2.912,,,2.545,,0.539,11.148
,,2.918,,,2.562,,0.54,11.15
,,2.925,,,2.563,,0.541,11.151
,,2.927,,,2.569,,0.542,11.161
,,2.928,,,2.579,,0.543,11.165
,,2.935,,,2.58,,0.544,11.166
,,2.941,,,2.589,,0.545,11.168
,,2.943,,,2.591,,0.546,11.171
,,2.95,,,2.597,,0.547,11.177
,,2.951,,,2.606,,0.548,11.18
,,2.96,,,2.607,,0.549,11.188
,,2.961,,,2.613,,0.55,11.195
,,2.965,,,2.62,,0.551,11.199
,,2.967,,,2.623,,0.552,11.201
,,2.969,,,2.631,,0.553,11.206
,,2.973,,,2.638,,0.554,11.207
,,2.975,,,2.64,,0.555,11.217
,,2.976,,,2.665,,0.556,11.228
,,2.979,,,2.682,,0.557,11.23
,,2.98,,,2.684,,0.558,11.235
,,2.983,,,2.696,,0.559,11.24
,,2.984,,,2.698,,0.56,11.247
,,2.985,,,2.7,,0.561,11.248
,,2.986,,,2.716,,0.562,11.25
,,2.998,,,2.718,,0.563,11.256
,,20.092,,,2.734,,0.564,11.259
,,20.093,,,2.739,,0.565,11.26
